path,url,domain,slug,title
/,https://aegisalign.com/,root,home,Home
/aegis-application-lab/aegis-arbitor-features-1/,https://aegisalign.com/aegis-application-lab/aegis-arbitor-features-1/,aegis-application-lab,aegis-arbitor-features-1,"AEGIS Arbitor | Decentralized Governance & Consensus"
/aegis-application-lab/aegis-arbitor-features-2/,https://aegisalign.com/aegis-application-lab/aegis-arbitor-features-2/,aegis-application-lab,aegis-arbitor-features-2,"AEGIS Arbitor | Decentralized Governance & Consensus"
/aegis-application-lab/aegis-core-shield-features/,https://aegisalign.com/aegis-application-lab/aegis-core-shield-features/,aegis-application-lab,aegis-core-shield-features,"AEGIS Core Shield | Infrastructure Hardening"
/aegis-application-lab/aegis-implementation-apps/,https://aegisalign.com/aegis-application-lab/aegis-implementation-apps/,aegis-application-lab,aegis-implementation-apps,"AEGIS Implementation Apps | AegisAlign"
/aegis-application-lab/aegis-interceptor-features-v2/,https://aegisalign.com/aegis-application-lab/aegis-interceptor-features-v2/,aegis-application-lab,aegis-interceptor-features-v2,"AEGIS Interceptor | Deep Packet Security"
/aegis-application-lab/aegis-llm-colab-and-agentic-workshop/,https://aegisalign.com/aegis-application-lab/aegis-llm-colab-and-agentic-workshop/,aegis-application-lab,aegis-llm-colab-and-agentic-workshop,"AegisAlign | LLM Colab & Agentic Workshop"
/aegis-application-lab/aegis-reflective-prism-features/,https://aegisalign.com/aegis-application-lab/aegis-reflective-prism-features/,aegis-application-lab,aegis-reflective-prism-features,"Aegis Reflective Prism Features"
/aegis-application-lab/aegis-reflective-widget-features/,https://aegisalign.com/aegis-application-lab/aegis-reflective-widget-features/,aegis-application-lab,aegis-reflective-widget-features,"AEGIS Reflective Widget | AegisAlign Security"
/agent-workshop/active-agents-monitor-agentic-workshop/,https://aegisalign.com/agent-workshop/active-agents-monitor-agentic-workshop/,agent-workshop,active-agents-monitor-agentic-workshop,"AEGIS Agentic Workshop - Active Agents Monitor"
/agent-workshop/aegis-project-tree-index/,https://aegisalign.com/agent-workshop/aegis-project-tree-index/,agent-workshop,aegis-project-tree-index,"Workshop Map"
/agent-workshop/agent-communication-protocol/,https://aegisalign.com/agent-workshop/agent-communication-protocol/,agent-workshop,agent-communication-protocol,"Agentic Workshop - Governed Communication Protocol"
/agent-workshop/agent-mesh-visualizer/,https://aegisalign.com/agent-workshop/agent-mesh-visualizer/,agent-workshop,agent-mesh-visualizer,"Agentic Workshop - Peer Mesh Topology"
/agent-workshop/agentic-workshop-entrance/,https://aegisalign.com/agent-workshop/agentic-workshop-entrance/,agent-workshop,agentic-workshop-entrance,"Agentic Workshop Entrance"
/agent-workshop/agentic-workshop-main-console/,https://aegisalign.com/agent-workshop/agentic-workshop-main-console/,agent-workshop,agentic-workshop-main-console,"AEGIS Agentic Workshop - Main Console"
/agent-workshop/ai-audit-analysis-recursive-training/,https://aegisalign.com/agent-workshop/ai-audit-analysis-recursive-training/,agent-workshop,ai-audit-analysis-recursive-training,"AEGIS Agentic Workshop - AI Audit Analysis"
/agent-workshop/anomaly-analysis-detail/,https://aegisalign.com/agent-workshop/anomaly-analysis-detail/,agent-workshop,anomaly-analysis-detail,"AEGIS Agentic Workshop - Anomaly Review Detail"
/agent-workshop/bulk-export-progress-modal/,https://aegisalign.com/agent-workshop/bulk-export-progress-modal/,agent-workshop,bulk-export-progress-modal,"AEGIS Agentic Workshop - Export Workflow Moved"
/agent-workshop/create-new-agent-dataquad-memory-configuration/,https://aegisalign.com/agent-workshop/create-new-agent-dataquad-memory-configuration/,agent-workshop,create-new-agent-dataquad-memory-configuration,"AEGIS Agentic Workshop - Step 3: DataQuad Memory"
/agent-workshop/create-new-agent-flow/,https://aegisalign.com/agent-workshop/create-new-agent-flow/,agent-workshop,create-new-agent-flow,"AEGIS Agentic Workshop - Create New Agent"
